18c679c,4,4,4,4,2160
18ee13a,4,4,4,4,2160
18f6d51,4,4,-1,-1,1080
18fecd5,4,4,4,4,2160
18ff422,4,4,4,-1,1440
19053c1,4,4,4,4,2160
192f67b,4,3,-1,-1,1080
193170a,4,4,4,4,2160
1947a0e,4,3,3,-1,1440
1955733,4,4,-1,-1,1080
1955cd1,4,4,4,2,2160
195c40c,4,4,-1,-1,1080
196e331,4,4,4,0,2160
19790d3,4,4,4,-1,1440
1980ce2,4,4,0,0,2160
199268e,4,4,-1,-1,1080
19af080,4,4,4,4,2160
19d1197,4,4,-1,-1,1080
19e1a86,4,4,4,-1,1440
19f8a80,4,4,-1,-1,1080
1a03b41,3,3,3,-1,1440
1a1149f,4,4,4,4,2160
1a2e4d4,4,4,4,4,2160
1a3dcca,4,4,-1,-1,1080
1a4cc77,4,4,4,-1,1440
1a53e5c,4,4,4,4,2160
1a6026b,4,4,3,4,2160
1a78477,4,4,-1,-1,1080
1a95905,3,3,-1,-1,1080
1a9996d,4,4,4,4,2160
1aa49e4,4,4,4,1,2160
1aa84af,3,4,4,-1,1440
1aad879,4,4,-1,-1,1080
1ab771b,4,4,-1,-1,1080
1ac71fd,4,4,4,4,2160
1ac895f,4,3,4,3,2160
1acacb8,4,4,-1,-1,1080
1acdd70,4,4,4,4,2160
1ad2f17,4,4,4,4,2160
1aea7aa,4,3,-1,-1,1080
1af2a40,4,4,4,4,2160
1af5d6e,4,4,4,0,2160
1b07b18,4,4,4,4,2160
1b18538,3,3,3,-1,1440
1b1cc21,4,4,4,-1,1440
1b2fa81,4,4,4,4,2160
1b36d91,3,3,3,-1,1440
1b41a7d,4,4,-1,-1,1080
1b5bd6f,4,4,4,3,2160
1b699e3,4,4,-1,-1,1080
1b73ce1,3,3,-1,-1,1080
1b7ec57,4,4,4,4,2160
1b82d18,4,4,4,-1,1440
1bb3880,4,4,-1,-1,1080
1bbff19,4,3,-1,-1,1080
1be622e,4,4,-1,-1,1080
1c0dcc6,4,4,-1,-1,1080
1c2c4b7,4,4,4,4,2160
1c581a3,4,4,0,-1,1440
1c69dc1,4,4,4,4,2160
1c6afb8,4,4,-1,-1,1080
1c74908,1,0,-1,-1,1080
1c9f34b,4,0,-1,-1,1080
1c9f77f,4,4,-1,-1,1080
1cbcae9,4,4,-1,-1,1080
1ccb572,4,4,-1,-1,1080
1cd35c6,4,4,4,1,2160
1cdfd63,3,4,4,0,2160
1d0b5a3,4,4,-1,-1,1080
1d0fcce,4,4,-1,-1,1080
1d14e42,2,0,-1,-1,1080
1d219dd,4,4,-1,-1,1080
1d2489a,3,0,-1,-1,1080
1d42036,4,4,4,1,2160
1d438f9,4,4,-1,-1,1080
1d51bae,4,4,4,-1,1440
1d5d6d1,4,4,4,4,2160
1d68a2a,4,4,-1,-1,1080
1d7256d,4,4,4,4,2160
1d922b0,2,0,-1,-1,1080
1da7bfa,4,4,4,3,2160
1db0b7a,4,4,4,-1,1440
1db413d,4,4,3,-1,1440
1dbddaa,4,0,-1,-1,1080
1dcf49c,4,4,-1,-1,1080
1ddfdf1,4,2,-1,-1,1080
1dedb38,3,3,4,-1,1440
1e14560,4,2,-1,-1,1080
1e290ba,4,4,-1,-1,1080
1e366f9,3,3,3,3,2160
1e37405,4,4,4,4,2160
1e3f07a,4,4,-1,-1,1080
1e456f6,4,4,-1,-1,1080
1e5d8d9,3,3,-1,-1,1080
1e6c0bb,4,4,4,1,2160
1e787e4,4,4,4,4,2160
1ea88a6,4,4,4,4,2160
1ea95dd,4,4,-1,-1,1080
1eeb35c,4,4,4,4,2160
1ef2f94,1,4,-1,-1,1080
1f15f21,4,4,-1,-1,1080
1f3256d,4,4,4,-1,1440
1f43497,4,4,-1,-1,1080
1f5094d,4,1,-1,-1,1080
1f537a2,4,4,4,0,2160
1f5ba8d,4,4,4,-1,1440
1f5e096,4,4,4,0,2160
1f612dc,4,3,-1,-1,1080
1f6c01f,4,4,-1,-1,1080
1f7961e,4,4,0,-1,1440
1f9088c,3,3,3,4,2160
1f924bb,4,3,3,-1,1440
1f9dea4,4,4,4,4,2160
1fb88c4,4,4,4,4,2160
1fc2ebe,4,4,4,0,2160
1fc9d06,4,4,4,0,2160
1fd71b6,4,4,-1,-1,1080
1fdf2ed,4,4,4,4,2160
1fe111f,4,4,4,-1,1440
1fe22c3,4,3,-1,-1,1080
1ff7c12,4,4,-1,-1,1080
200da63,4,4,4,4,2160
204bb44,4,4,4,4,2160
207d24f,4,4,4,3,2160
20cb5df,4,4,4,4,2160
20cbf5f,4,4,4,4,2160
